name_track,artist_track,uri_track,popularity,tempo,genres
¿Y Eso?,Rauw Alejandro,spotify:track:0YejfHh813VEeRs22sfAzw,0,172,"pop, r&b en espanol"
R Sport,KEVVO,spotify:track:1CSLwqFonu2PqmwtWkQ5yl,33,92,"reggaeton, reggaeton flow, trap latino, urbano latino"
Se Va Pero Vuelve,Maikel Delacalle,spotify:track:58A1xosXWF48NBUneb8sU3,42,90,"rap canario, trap latino, urbano espanol"
FRIKI,Feid,spotify:track:3No3zHVwKadKDR00kZdmAB,74,95,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Donde Estan las Gatas,Alex Gargolas,spotify:track:0tIpUUbOYIWqvI50Ksf7D5,71,110,"reggaeton, reggaeton flow, urbano latino"
PROBLEMA - Lunytunes Version,Daddy Yankee,spotify:track:7y13zIuxdu01l9GMgXYd3F,34,180,"latin hip hop, reggaeton, trap latino, urbano latino"
No Love,Anuel AA,spotify:track:32Cg0fAMbosGzbfeqQFrnw,67,172,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Perreo,Anuel AA,spotify:track:7IrHrOQnhaHDDfZoraPVhb,49,178,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
SE CANSÓ,Lunay,spotify:track:1uEnlU7c5dNlM4K1YlFxaG,35,82,"reggaeton, reggaeton flow, trap latino, urbano latino"
Emojis de Corazones (feat. Los Legendarios),Wisin,spotify:track:5Mw46yRtdiOdjqSG0eDItr,60,98,"electro latino, reggaeton, trap latino, urbano latino"
OTRA NO,Lunay,spotify:track:3f2K8tmTI3mHzojNYqae4h,45,92,"reggaeton, reggaeton flow, trap latino, urbano latino"
7 Lágrimas - Remix,Soge Culebra,spotify:track:3wlX0yg6NRMDPwOvdPmuLn,68,152,"rap conciencia, spanish hip hop"
JUNGLE,Trueno,spotify:track:3monFIRNCDt9we37DDvCCK,54,172,rain
